alias,normalized_skill,category
Osteology,Bioarchaeology/Osteology,Analysis & Lab
Ceramic Analysis,Ceramic Analysis,Analysis & Lab
Conservation Planning,Collections Conservation Planning,Analysis & Lab
Dendrochronology,Dendrochronology,Analysis & Lab
Geoarchaeology,Geoarchaeology,Analysis & Lab
Lithic Analysis,Lithic Analysis,Analysis & Lab
Obsidian Sourcing,Obsidian Sourcing/XRF,Analysis & Lab
Paleoethnobotany,Paleoethnobotany/Archaeobotany,Analysis & Lab
Radiocarbon Sampling,Radiocarbon Sampling/Interpretation,Analysis & Lab
Residue Analysis,Residue/Use-Wear Analysis,Analysis & Lab
Micromorphology,Soil Micromorphology,Analysis & Lab
Faunal Analysis,Zooarchaeology (Faunal Analysis),Analysis & Lab
Architectural History,Architectural History,Built Environment
Historic Structures Report,Historic Structures Report (HSR),Built Environment
Eligibility/Integrity Assessment,NRHP Integrity Assessment,Built Environment
Bridge/Transportation History,Transportation Resource Evaluation,Built Environment
Budget Stewardship,Budget & Cost Control (Preservation),Business & Program
Fundraising (Heritage),Fundraising & Sponsorship (Heritage),Business & Program
Grant Writing (Heritage),Grant Writing for Heritage Programs,Business & Program
Heritage Economics,Heritage Economics & Valuation,Business & Program
Governance Structures,Heritage Governance Models,Business & Program
Policy Analysis (Heritage),Heritage Policy Analysis,Business & Program
Program Evaluation,Program Evaluation (KPIs/Outcomes),Business & Program
Stakeholder Mapping,Stakeholder Mapping,Business & Program
HRI/CHRIS Records,State Historic Record Systems (e.g.,CHRIS)
Accession Policy,Accession Policy & Procedures,Collections & Curation
Accessioning,Accessioning & Cataloging,Collections & Curation
Environmental Monitoring,Collections Environmental Monitoring,Collections & Curation
Loan Management,Collections Loan Management,Collections & Curation
Collections Policy,Collections Management Policy,Collections & Curation
Metadata Standards,Collections Metadata (Dublin Core/PREMIS),Collections & Curation
Curation Agreements,Curation Agreements,Collections & Curation
Deaccessioning,Deaccessioning Procedures,Collections & Curation
Digital Preservation,Digital Preservation (OAIS/BagIt),Collections & Curation
Integrated Pest Management,Integrated Pest Management (IPM),Collections & Curation
PastPerfect,PastPerfect CMS,Collections & Curation
Rehousing,Preventive Conservation & Rehousing,Collections & Curation
Repatriation Policy,Repatriation Policy & Procedures,Collections & Curation
Repository Standards,Repository Standards & Agreements,Collections & Curation
TMS,The Museum System (TMS),Collections & Curation
Community Engagement,Community Outreach & Interpretation,Community & Consultation
Ethnographic Methods,Ethnographic Research Methods,Community & Consultation
Oral History,Oral History Methods,Community & Consultation
Public Interpretation,Public Interpretation & Education,Community & Consultation
Tribal Consultation,Tribal Consultation & Engagement,Community & Consultation
Archaeological Monitoring,Archaeological Monitoring,Compliance Implementation
Stop-Work Protocol,Chance Find/Stop-Work Protocols,Compliance Implementation
Compliance Tracking,Compliance Tracking Systems,Compliance Implementation
Construction Monitoring,Construction Compliance Monitoring,Compliance Implementation
Contract Deliverables,Contract Deliverables Management,Compliance Implementation
Mitigation Reporting,Mitigation Reporting & Closeout,Compliance Implementation
Treatment Proposals,Conservation Treatment Proposals,Conservation & Treatment
Stabilization,Emergency Stabilization (Historic Fabric),Conservation & Treatment
Materials Conservation,Historic Materials Conservation,Conservation & Treatment
Historic Paint Analysis,Historic Paint Analysis,Conservation & Treatment
Masonry Conservation,Masonry Conservation,Conservation & Treatment
Metal Conservation,Metal Conservation,Conservation & Treatment
Mortar Analysis,Mortar Analysis & Repointing,Conservation & Treatment
